Logger:         	Automatically truncated logfile to 1048576
Session:        	Garbage collected 5 outgoing messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 2 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1441902509
MsgIdHandler64: 	Given message id (7073904347834500097) is bigger than or equal to the current limit (7073904347834212353). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1362553581
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShortMessage) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 11 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904353897559041) is bigger than or equal to the current limit (7073904353897390081). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1259600265
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 4 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904356629468161) is bigger than or equal to the current limit (7073904356629279745). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
PeerHandler:    	Only have min peer for -1001285658714 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer -1001285658714, this may fail
FeedLoop:       	Resumed update feed loop channel 1285658714
UpdateHandler:  	Parsing updates (updateShortMessage) received via the socket...
FeedLoop:       	Resumed update feed loop generic
MsgIdHandler64: 	Given message id (7073904358019238913) is lower than or equal to the current limit (7073904358019323905). Please sync your date using NTP.
MsgIdHandler64: 	Given message id (7073904358019321857) is bigger than or equal to the current limit (7073904358019237889). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
MsgIdHandler64: 	Given message id (7073904358269697025) is bigger than or equal to the current limit (7073904358269532161). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
MsgIdHandler64: 	Given message id (7073904359622828033) is lower than or equal to the current limit (7073904359622903809). Please sync your date using NTP.
MsgIdHandler64: 	Given message id (7073904359622902785) is bigger than or equal to the current limit (7073904359622827009). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
Session:        	Garbage collected 14 incoming messages, 0 left
Session:        	Garbage collected 3 outgoing messages, 4 left
MsgIdHandler64: 	Given message id (7073904360116712449) is bigger than or equal to the current limit (7073904360116497409). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
MsgIdHandler64: 	Given message id (7073904360378245121) is bigger than or equal to the current limit (7073904360378169345). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
MsgIdHandler64: 	Given message id (7073904361599093761) is bigger than or equal to the current limit (7073904361598921729). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1285658714
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
FeedLoop:       	Getdiff fed me message of type message in update feed loop channel 1285658714...
MsgIdHandler64: 	Given message id (7073904363866755073) is bigger than or equal to the current limit (7073904363866496001). Please sync your date using NTP.
Session:        	Garbage collected 17 incoming messages, 0 left
Session:        	Garbage collected 7 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904370397461505) is bigger than or equal to the current limit (7073904370397340673). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
PeerHandler:    	Only have min peer for -1001348466325 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer -1001348466325, this may fail
FeedLoop:       	Resumed update feed loop channel 1348466325
Session:        	Garbage collected 6 incoming messages, 0 left
Session:        	Garbage collected 5 outgoing messages, 1 left
MsgIdHandler64: 	Given message id (7073904373156436993) is lower than or equal to the current limit (7073904373156572161). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1362553581
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 4 incoming messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904378964510721) is bigger than or equal to the current limit (7073904378964271105). Please sync your date using NTP.
Session:        	Garbage collected 4 incoming messages, 0 left
Session:        	Garbage collected 3 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904384127304705) is lower than or equal to the current limit (7073904384127496193). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1464870000
Session:        	Garbage collected 3 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
Session:        	Garbage collected 1 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 1 incoming messages, 0 left
MsgIdHandler64: 	Given message id (7073904394549399553) is bigger than or equal to the current limit (7073904394549266433). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShortMessage) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 5 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904402694506497) is lower than or equal to the current limit (7073904402694634497). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1362553581
UpdateHandler:  	Parsing updates (updates) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 4 incoming messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 1 left
FeedLoop:       	Resumed update feed loop channel 1362553581
UpdateHandler:  	Parsing updates (updates) received via the socket...
FeedLoop:       	Resumed update feed loop generic
